Date,Close
Apr 17, 2025,52.26
Apr 16, 2025,51.13
Apr 15, 2025,51.13
Apr 14, 2025,51.03
Apr 11, 2025,50.76
Apr 10, 2025,50.52
Apr 9, 2025,51.22
Apr 8, 2025,49.16
Apr 7, 2025,49.13
Apr 4, 2025,49.19
Apr 3, 2025,51.18
Apr 2, 2025,51.56
Apr 1, 2025,51.05
Mar 31, 2025,51.48
Mar 28, 2025,51.28
Mar 27, 2025,51.79
Mar 26, 2025,51.40
Mar 25, 2025,52.04
Mar 24, 2025,52.12
Mar 21, 2025,51.47
